"No.","Time","Source","Destination","Protocol","Length","Info"
"9753","991.449675824","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9754","991.449676259","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9757","991.656800887","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9759","992.168198184","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9760","992.168198672","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9761","992.168198780","88.99.245.8","172.21.0.134","TCP","120","[TCP Retransmission] 443  >  52454 [PSH, ACK] Seq=6050557 Ack=1 Win=501 Len=54 TSval=1404215429 TSecr=4005719894"
"9765","992.370218778","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9767","992.678535011","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9769","992.882504993","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9771","993.087426320","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9773","993.291357254","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9775","993.599026237","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9777","993.804345729","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9779","994.110580446","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9781","994.315272933","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9783","994.628852499","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9785","994.827352362","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9787","995.032622648","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9789","995.237398759","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9791","995.546743684","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9793","995.749599800","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9795","996.056487397","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9797","996.260946104","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9799","996.465953402","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9801","996.774133964","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9803","996.977959358","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9805","997.182994798","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
